OBJECTID,the_geom,Fac_Type,Field_Office,State_Name,County,City,Fac_Name,Fac_Use,Elevation,Sectional_,Fuel_Types,Atc_Tower,Unicom,Ctaf,Landing_Fee,Wind_Indic
13344,POINT (-97.9753694440994 34.52126666707877),HELIPORT,AOK,OKLAHOMA,STEPHENS,DUNCAN,DUNCAN RGNL HOSPITAL,PR,1120,DALLAS-FT WORTH,,N,,,,Y
13345,POINT (-97.90961666668514 34.547094444243676),AIRPORT,AOK,OKLAHOMA,STEPHENS,DUNCAN,RAMSAK,PR,1228,DALLAS-FT WORTH,,N,,,,
13346,POINT (-97.7669769439659 34.53341416726762),AIRPORT,AOK,OKLAHOMA,STEPHENS,DUNCAN,KETCHUM RANCH,PR,1100,DALLAS-FT WORTH,,N,,,N,Y
13347,POINT (-96.39505863916865 33.93969794375299),AIRPORT,AOK,OKLAHOMA,BRYAN,DURANT,DURANT RGNL - EAKER FIELD,PU,699.20001221,DALLAS-FT WORTH,100LLA,N,122.8,122.8,N,Y
13348,POINT (-96.39279166688732 34.00668333318414),HELIPORT,AOK,OKLAHOMA,BRYAN,DURANT,ALLIANCEHEALTH DURANT,PR,700,DALLAS-FT WORTH,,N,,,,Y
13349,POINT (-96.4216597220419 34.088984167138),AIRPORT,AOK,OKLAHOMA,BRYAN,DURANT,MC LAUGHLIN FARM,PR,695,DALLAS-FT WORTH,,N,,,,Y
13350,POINT (-98.571176111264 35.35949888879814),AIRPORT,AOK,OKLAHOMA,CADDO,EAKLY,LASLEY PRIVATE,PR,1630,DALLAS-FT WORTH,,N,,,N,Y
13351,POINT (-97.4003163887555 35.75005250034073),AIRPORT,AOK,OKLAHOMA,LOGAN,EDMOND,MYRICK,PR,1195,DALLAS-FT WORTH,,N,,,,
13352,POINT (-97.54143083320774 35.729772778101584),AIRPORT,AOK,OKLAHOMA,LOGAN,EDMOND,5B RANCH,PR,1085,DALLAS-FT WORTH,,N,,,,Y
13353,POINT (-97.46074999972569 35.65499999965452),HELIPORT,AOK,OKLAHOMA,OKLAHOMA,EDMOND,OU MEDICAL CENTER EDMOND,PR,1184,DALLAS-FT WORTH,,N,,,,
13354,POINT (-97.36135833326048 35.74213888919565),AIRPORT,NONE,OKLAHOMA,LOGAN,EDMOND,GREGG,PR,1226,DALLAS-FT WORTH,,N,,,,N
